900
# Format: charge x y fx_d fy_d sigma epsilon
# 3.000000 10.2500000000 13.0330127019 2.000000 0.000000 -1.0 -1.0


1.000000 29.2500000000 12.5573683549 0.000000 0.000000 -1.000000 -1.000000
1.000000 29.7500000000 13.4233937587 0.000000 0.000000 -1.000000 -1.000000
1.000000 0.2500000000 14.2894191624 0.000000 0.000000 -1.000000 -1.000000
1.000000 0.7500000000 15.1554445662 0.000000 0.000000 -1.000000 -1.000000
1.000000 1.2500000000 16.0214699700 0.000000 0.000000 -1.000000 -1.000000
1.000000 1.7500000000 16.8874953738 0.000000 0.000000 -1.000000 -1.000000
1.000000 2.2500000000 17.7535207776 0.000000 0.000000 -1.000000 -1.000000
1.000000 2.7500000000 18.6195461814 0.000000 0.000000 -1.000000 -1.000000
1.000000 3.2500000000 19.4855715851 0.000000 0.000000 -1.000000 -1.000000
1.000000 3.7500000000 20.3515969889 0.000000 0.000000 -1.000000 -1.000000
1.000000 4.2500000000 21.2176223927 0.000000 0.000000 -1.000000 -1.000000
1.000000 4.7500000000 22.0836477965 0.000000 0.000000 -1.000000 -1.000000
1.000000 5.2500000000 22.9496732003 0.000000 0.000000 -1.000000 -1.000000
1.000000 5.7500000000 23.8156986041 0.000000 0.000000 -1.000000 -1.000000
1.000000 6.2500000000 24.6817240079 0.000000 0.000000 -1.000000 -1.000000
1.000000 6.7500000000 25.5477494116 0.000000 0.000000 -1.000000 -1.000000
1.000000 23.2500000000 0.4330127019 0.000000 0.000000 -1.000000 -1.000000
1.000000 23.7500000000 1.2990381057 0.000000 0.000000 -1.000000 -1.000000
1.000000 24.2500000000 2.1650635095 0.000000 0.000000 -1.000000 -1.000000
1.000000 24.7500000000 3.0310889132 0.000000 0.000000 -1.000000 -1.000000
1.000000 25.2500000000 3.8971143170 0.000000 0.000000 -1.000000 -1.000000
1.000000 25.7500000000 4.7631397208 0.000000 0.000000 -1.000000 -1.000000
1.000000 26.2500000000 5.6291651246 0.000000 0.000000 -1.000000 -1.000000
1.000000 26.7500000000 6.4951905284 0.000000 0.000000 -1.000000 -1.000000
1.000000 27.2500000000 7.3612159322 0.000000 0.000000 -1.000000 -1.000000
1.000000 27.7500000000 8.2272413360 0.000000 0.000000 -1.000000 -1.000000
1.000000 28.2500000000 9.0932667397 0.000000 0.000000 -1.000000 -1.000000
1.000000 28.7500000000 9.9592921435 0.000000 0.000000 -1.000000 -1.000000
1.000000 29.2500000000 10.8253175473 0.000000 0.000000 -1.000000 -1.000000
1.000000 29.7500000000 11.6913429511 0.000000 0.000000 -1.000000 -1.000000
1.000000 0.2500000000 12.5573683549 0.000000 0.000000 -1.000000 -1.000000
1.000000 0.7500000000 13.4233937587 0.000000 0.000000 -1.000000 -1.000000
1.000000 1.2500000000 14.2894191624 0.000000 0.000000 -1.000000 -1.000000
1.000000 1.7500000000 15.1554445662 0.000000 0.000000 -1.000000 -1.000000
1.000000 2.2500000000 16.0214699700 0.000000 0.000000 -1.000000 -1.000000
1.000000 2.7500000000 16.8874953738 0.000000 0.000000 -1.000000 -1.000000
1.000000 3.2500000000 17.7535207776 0.000000 0.000000 -1.000000 -1.000000
1.000000 3.7500000000 18.6195461814 0.000000 0.000000 -1.000000 -1.000000
1.000000 4.2500000000 19.4855715851 0.000000 0.000000 -1.000000 -1.000000
1.000000 4.7500000000 20.3515969889 0.000000 0.000000 -1.000000 -1.000000
1.000000 5.2500000000 21.2176223927 0.000000 0.000000 -1.000000 -1.000000
1.000000 5.7500000000 22.0836477965 0.000000 0.000000 -1.000000 -1.000000
1.000000 6.2500000000 22.9496732003 0.000000 0.000000 -1.000000 -1.000000
1.000000 6.7500000000 23.8156986041 0.000000 0.000000 -1.000000 -1.000000
1.000000 7.2500000000 24.6817240079 0.000000 0.000000 -1.000000 -1.000000
1.000000 7.7500000000 25.5477494116 0.000000 0.000000 -1.000000 -1.000000
1.000000 24.2500000000 0.4330127019 0.000000 0.000000 -1.000000 -1.000000
1.000000 24.7500000000 1.2990381057 0.000000 0.000000 -1.000000 -1.000000
1.000000 25.2500000000 2.1650635095 0.000000 0.000000 -1.000000 -1.000000
1.000000 25.7500000000 3.0310889132 0.000000 0.000000 -1.000000 -1.000000
1.000000 26.2500000000 3.8971143170 0.000000 0.000000 -1.000000 -1.000000
1.000000 26.7500000000 4.7631397208 0.000000 0.000000 -1.000000 -1.000000
1.000000 27.2500000000 5.6291651246 0.000000 0.000000 -1.000000 -1.000000
1.000000 27.7500000000 6.4951905284 0.000000 0.000000 -1.000000 -1.000000
1.000000 28.2500000000 7.3612159322 0.000000 0.000000 -1.000000 -1.000000
1.000000 28.7500000000 8.2272413360 0.000000 0.000000 -1.000000 -1.000000
1.000000 29.2500000000 9.0932667397 0.000000 0.000000 -1.000000 -1.000000
1.000000 29.7500000000 9.9592921435 0.000000 0.000000 -1.000000 -1.000000
1.000000 0.2500000000 10.8253175473 0.000000 0.000000 -1.000000 -1.000000
1.000000 0.7500000000 11.6913429511 0.000000 0.000000 -1.000000 -1.000000
1.000000 1.2500000000 12.5573683549 0.000000 0.000000 -1.000000 -1.000000
1.000000 1.7500000000 13.4233937587 0.000000 0.000000 -1.000000 -1.000000
1.000000 2.2500000000 14.2894191624 0.000000 0.000000 -1.000000 -1.000000
1.000000 2.7500000000 15.1554445662 0.000000 0.000000 -1.000000 -1.000000
1.000000 3.2500000000 16.0214699700 0.000000 0.000000 -1.000000 -1.000000
1.000000 3.7500000000 16.8874953738 0.000000 0.000000 -1.000000 -1.000000
1.000000 4.2500000000 17.7535207776 0.000000 0.000000 -1.000000 -1.000000
1.000000 4.7500000000 18.6195461814 0.000000 0.000000 -1.000000 -1.000000
1.000000 5.2500000000 19.4855715851 0.000000 0.000000 -1.000000 -1.000000
1.000000 5.7500000000 20.3515969889 0.000000 0.000000 -1.000000 -1.000000
1.000000 6.2500000000 21.2176223927 0.000000 0.000000 -1.000000 -1.000000
1.000000 6.7500000000 22.0836477965 0.000000 0.000000 -1.000000 -1.000000
1.000000 7.2500000000 22.9496732003 0.000000 0.000000 -1.000000 -1.000000
1.000000 7.7500000000 23.8156986041 0.000000 0.000000 -1.000000 -1.000000
1.000000 8.2500000000 24.6817240079 0.000000 0.000000 -1.000000 -1.000000
1.000000 8.7500000000 25.5477494116 0.000000 0.000000 -1.000000 -1.000000
1.000000 25.2500000000 0.4330127019 0.000000 0.000000 -1.000000 -1.000000
1.000000 25.7500000000 1.2990381057 0.000000 0.000000 -1.000000 -1.000000
1.000000 26.2500000000 2.1650635095 0.000000 0.000000 -1.000000 -1.000000
1.000000 26.7500000000 3.0310889132 0.000000 0.000000 -1.000000 -1.000000
1.000000 27.2500000000 3.8971143170 0.000000 0.000000 -1.000000 -1.000000
1.000000 27.7500000000 4.7631397208 0.000000 0.000000 -1.000000 -1.000000
1.000000 28.2500000000 5.6291651246 0.000000 0.000000 -1.000000 -1.000000
1.000000 28.7500000000 6.4951905284 0.000000 0.000000 -1.000000 -1.000000
1.000000 29.2500000000 7.3612159322 0.000000 0.000000 -1.000000 -1.000000
1.000000 29.7500000000 8.2272413360 0.000000 0.000000 -1.000000 -1.000000
1.000000 0.2500000000 9.0932667397 0.000000 0.000000 -1.000000 -1.000000
1.000000 0.7500000000 9.9592921435 0.000000 0.000000 -1.000000 -1.000000
1.000000 1.2500000000 10.8253175473 0.000000 0.000000 -1.000000 -1.000000
1.000000 1.7500000000 11.6913429511 0.000000 0.000000 -1.000000 -1.000000
1.000000 2.2500000000 12.5573683549 0.000000 0.000000 -1.000000 -1.000000
1.000000 2.7500000000 13.4233937587 0.000000 0.000000 -1.000000 -1.000000
1.000000 3.2500000000 14.2894191624 0.000000 0.000000 -1.000000 -1.000000
1.000000 3.7500000000 15.1554445662 0.000000 0.000000 -1.000000 -1.000000
1.000000 4.2500000000 16.0214699700 0.000000 0.000000 -1.000000 -1.000000
1.000000 4.7500000000 16.8874953738 0.000000 0.000000 -1.000000 -1.000000
1.000000 5.2500000000 17.7535207776 0.000000 0.000000 -1.000000 -1.000000
1.000000 5.7500000000 18.6195461814 0.000000 0.000000 -1.000000 -1.000000
1.000000 6.2500000000 19.4855715851 0.000000 0.000000 -1.000000 -1.000000
1.000000 6.7500000000 20.3515969889 0.000000 0.000000 -1.000000 -1.000000
1.000000 7.2500000000 21.2176223927 0.000000 0.000000 -1.000000 -1.000000
1.000000 7.7500000000 22.0836477965 0.000000 0.000000 -1.000000 -1.000000
1.000000 8.2500000000 22.9496732003 0.000000 0.000000 -1.000000 -1.000000
1.000000 8.7500000000 23.8156986041 0.000000 0.000000 -1.000000 -1.000000
1.000000 9.2500000000 24.6817240079 0.000000 0.000000 -1.000000 -1.000000
1.000000 9.7500000000 25.5477494116 0.000000 0.000000 -1.000000 -1.000000
1.000000 26.2500000000 0.4330127019 0.000000 0.000000 -1.000000 -1.000000
1.000000 26.7500000000 1.2990381057 0.000000 0.000000 -1.000000 -1.000000
1.000000 27.2500000000 2.1650635095 0.000000 0.000000 -1.000000 -1.000000
1.000000 27.7500000000 3.0310889132 0.000000 0.000000 -1.000000 -1.000000
1.000000 28.2500000000 3.8971143170 0.000000 0.000000 -1.000000 -1.000000
1.000000 28.7500000000 4.7631397208 0.000000 0.000000 -1.000000 -1.000000
1.000000 29.2500000000 5.6291651246 0.000000 0.000000 -1.000000 -1.000000
1.000000 29.7500000000 6.4951905284 0.000000 0.000000 -1.000000 -1.000000
1.000000 0.2500000000 7.3612159322 0.000000 0.000000 -1.000000 -1.000000
1.000000 0.7500000000 8.2272413360 0.000000 0.000000 -1.000000 -1.000000
1.000000 1.2500000000 9.0932667397 0.000000 0.000000 -1.000000 -1.000000
1.000000 1.7500000000 9.9592921435 0.000000 0.000000 -1.000000 -1.000000
1.000000 2.2500000000 10.8253175473 0.000000 0.000000 -1.000000 -1.000000
1.000000 2.7500000000 11.6913429511 0.000000 0.000000 -1.000000 -1.000000
1.000000 3.2500000000 12.5573683549 0.000000 0.000000 -1.000000 -1.000000
1.000000 3.7500000000 13.4233937587 0.000000 0.000000 -1.000000 -1.000000
1.000000 4.2500000000 14.2894191624 0.000000 0.000000 -1.000000 -1.000000
1.000000 4.7500000000 15.1554445662 0.000000 0.000000 -1.000000 -1.000000
1.000000 5.2500000000 16.0214699700 0.000000 0.000000 -1.000000 -1.000000
1.000000 5.7500000000 16.8874953738 0.000000 0.000000 -1.000000 -1.000000
1.000000 6.2500000000 17.7535207776 0.000000 0.000000 -1.000000 -1.000000
1.000000 6.7500000000 18.6195461814 0.000000 0.000000 -1.000000 -1.000000
1.000000 7.2500000000 19.4855715851 0.000000 0.000000 -1.000000 -1.000000
1.000000 7.7500000000 20.3515969889 0.000000 0.000000 -1.000000 -1.000000
1.000000 8.2500000000 21.2176223927 0.000000 0.000000 -1.000000 -1.000000
1.000000 8.7500000000 22.0836477965 0.000000 0.000000 -1.000000 -1.000000
1.000000 9.2500000000 22.9496732003 0.000000 0.000000 -1.000000 -1.000000
1.000000 9.7500000000 23.8156986041 0.000000 0.000000 -1.000000 -1.000000
1.000000 10.2500000000 24.6817240079 0.000000 0.000000 -1.000000 -1.000000
1.000000 10.7500000000 25.5477494116 0.000000 0.000000 -1.000000 -1.000000
1.000000 27.2500000000 0.4330127019 0.000000 0.000000 -1.000000 -1.000000
1.000000 27.7500000000 1.2990381057 0.000000 0.000000 -1.000000 -1.000000
1.000000 28.2500000000 2.1650635095 0.000000 0.000000 -1.000000 -1.000000
1.000000 28.7500000000 3.0310889132 0.000000 0.000000 -1.000000 -1.000000
1.000000 29.2500000000 3.8971143170 0.000000 0.000000 -1.000000 -1.000000
1.000000 29.7500000000 4.7631397208 0.000000 0.000000 -1.000000 -1.000000
1.000000 0.2500000000 5.6291651246 0.000000 0.000000 -1.000000 -1.000000
1.000000 0.7500000000 6.4951905284 0.000000 0.000000 -1.000000 -1.000000
1.000000 1.2500000000 7.3612159322 0.000000 0.000000 -1.000000 -1.000000
1.000000 1.7500000000 8.2272413360 0.000000 0.000000 -1.000000 -1.000000
1.000000 2.2500000000 9.0932667397 0.000000 0.000000 -1.000000 -1.000000
1.000000 2.7500000000 9.9592921435 0.000000 0.000000 -1.000000 -1.000000
1.000000 3.2500000000 10.8253175473 0.000000 0.000000 -1.000000 -1.000000
1.000000 3.7500000000 11.6913429511 0.000000 0.000000 -1.000000 -1.000000
1.000000 4.2500000000 12.5573683549 0.000000 0.000000 -1.000000 -1.000000
1.000000 4.7500000000 13.4233937587 0.000000 0.000000 -1.000000 -1.000000
1.000000 5.2500000000 14.2894191624 0.000000 0.000000 -1.000000 -1.000000
1.000000 5.7500000000 15.1554445662 0.000000 0.000000 -1.000000 -1.000000
1.000000 6.2500000000 16.0214699700 0.000000 0.000000 -1.000000 -1.000000
1.000000 6.7500000000 16.8874953738 0.000000 0.000000 -1.000000 -1.000000
1.000000 7.2500000000 17.7535207776 0.000000 0.000000 -1.000000 -1.000000
1.000000 7.7500000000 18.6195461814 0.000000 0.000000 -1.000000 -1.000000
1.000000 8.2500000000 19.4855715851 0.000000 0.000000 -1.000000 -1.000000
1.000000 8.7500000000 20.3515969889 0.000000 0.000000 -1.000000 -1.000000
1.000000 9.2500000000 21.2176223927 0.000000 0.000000 -1.000000 -1.000000
1.000000 9.7500000000 22.0836477965 0.000000 0.000000 -1.000000 -1.000000
1.000000 10.2500000000 22.9496732003 0.000000 0.000000 -1.000000 -1.000000
1.000000 10.7500000000 23.8156986041 0.000000 0.000000 -1.000000 -1.000000
1.000000 11.2500000000 24.6817240079 0.000000 0.000000 -1.000000 -1.000000
1.000000 11.7500000000 25.5477494116 0.000000 0.000000 -1.000000 -1.000000
1.000000 28.2500000000 0.4330127019 0.000000 0.000000 -1.000000 -1.000000
1.000000 28.7500000000 1.2990381057 0.000000 0.000000 -1.000000 -1.000000
1.000000 29.2500000000 2.1650635095 0.000000 0.000000 -1.000000 -1.000000
1.000000 29.7500000000 3.0310889132 0.000000 0.000000 -1.000000 -1.000000
1.000000 0.2500000000 3.8971143170 0.000000 0.000000 -1.000000 -1.000000
1.000000 0.7500000000 4.7631397208 0.000000 0.000000 -1.000000 -1.000000
1.000000 1.2500000000 5.6291651246 0.000000 0.000000 -1.000000 -1.000000
1.000000 1.7500000000 6.4951905284 0.000000 0.000000 -1.000000 -1.000000
1.000000 2.2500000000 7.3612159322 0.000000 0.000000 -1.000000 -1.000000
1.000000 2.7500000000 8.2272413360 0.000000 0.000000 -1.000000 -1.000000
1.000000 3.2500000000 9.0932667397 0.000000 0.000000 -1.000000 -1.000000
1.000000 3.7500000000 9.9592921435 0.000000 0.000000 -1.000000 -1.000000
1.000000 4.2500000000 10.8253175473 0.000000 0.000000 -1.000000 -1.000000
1.000000 4.7500000000 11.6913429511 0.000000 0.000000 -1.000000 -1.000000
1.000000 5.2500000000 12.5573683549 0.000000 0.000000 -1.000000 -1.000000


1.000000 6.7500000000 15.1554445662 0.000000 0.000000 -1.000000 -1.000000
1.000000 7.2500000000 16.0214699700 0.000000 0.000000 -1.000000 -1.000000
1.000000 7.7500000000 16.8874953738 0.000000 0.000000 -1.000000 -1.000000
1.000000 8.2500000000 17.7535207776 0.000000 0.000000 -1.000000 -1.000000
1.000000 8.7500000000 18.6195461814 0.000000 0.000000 -1.000000 -1.000000
1.000000 9.2500000000 19.4855715851 0.000000 0.000000 -1.000000 -1.000000
1.000000 9.7500000000 20.3515969889 0.000000 0.000000 -1.000000 -1.000000
1.000000 10.2500000000 21.2176223927 0.000000 0.000000 -1.000000 -1.000000
1.000000 10.7500000000 22.0836477965 0.000000 0.000000 -1.000000 -1.000000
1.000000 11.2500000000 22.9496732003 0.000000 0.000000 -1.000000 -1.000000
1.000000 11.7500000000 23.8156986041 0.000000 0.000000 -1.000000 -1.000000
1.000000 12.2500000000 24.6817240079 0.000000 0.000000 -1.000000 -1.000000
1.000000 12.7500000000 25.5477494116 0.000000 0.000000 -1.000000 -1.000000
1.000000 29.2500000000 0.4330127019 0.000000 0.000000 -1.000000 -1.000000
1.000000 29.7500000000 1.2990381057 0.000000 0.000000 -1.000000 -1.000000
1.000000 0.2500000000 2.1650635095 0.000000 0.000000 -1.000000 -1.000000
1.000000 0.7500000000 3.0310889132 0.000000 0.000000 -1.000000 -1.000000
1.000000 1.2500000000 3.8971143170 0.000000 0.000000 -1.000000 -1.000000
1.000000 1.7500000000 4.7631397208 0.000000 0.000000 -1.000000 -1.000000
1.000000 2.2500000000 5.6291651246 0.000000 0.000000 -1.000000 -1.000000
1.000000 2.7500000000 6.4951905284 0.000000 0.000000 -1.000000 -1.000000
1.000000 3.2500000000 7.3612159322 0.000000 0.000000 -1.000000 -1.000000
1.000000 3.7500000000 8.2272413360 0.000000 0.000000 -1.000000 -1.000000
1.000000 4.2500000000 9.0932667397 0.000000 0.000000 -1.000000 -1.000000
1.000000 4.7500000000 9.9592921435 0.000000 0.000000 -1.000000 -1.000000
1.000000 5.2500000000 10.8253175473 0.000000 0.000000 -1.000000 -1.000000
1.000000 5.7500000000 11.6913429511 0.000000 0.000000 -1.000000 -1.000000
1.000000 6.2500000000 12.5573683549 0.000000 0.000000 -1.000000 -1.000000

1.000000 7.2500000000 14.2894191624 0.000000 0.000000 -1.000000 -1.000000
1.000000 7.7500000000 15.1554445662 0.000000 0.000000 -1.000000 -1.000000
1.000000 8.2500000000 16.0214699700 0.000000 0.000000 -1.000000 -1.000000
1.000000 8.7500000000 16.8874953738 0.000000 0.000000 -1.000000 -1.000000
1.000000 9.2500000000 17.7535207776 0.000000 0.000000 -1.000000 -1.000000
1.000000 9.7500000000 18.6195461814 0.000000 0.000000 -1.000000 -1.000000
1.000000 10.2500000000 19.4855715851 0.000000 0.000000 -1.000000 -1.000000
1.000000 10.7500000000 20.3515969889 0.000000 0.000000 -1.000000 -1.000000
1.000000 11.2500000000 21.2176223927 0.000000 0.000000 -1.000000 -1.000000
1.000000 11.7500000000 22.0836477965 0.000000 0.000000 -1.000000 -1.000000
1.000000 12.2500000000 22.9496732003 0.000000 0.000000 -1.000000 -1.000000
1.000000 12.7500000000 23.8156986041 0.000000 0.000000 -1.000000 -1.000000
1.000000 13.2500000000 24.6817240079 0.000000 0.000000 -1.000000 -1.000000
1.000000 13.7500000000 25.5477494116 0.000000 0.000000 -1.000000 -1.000000
